Command: kubectl get events --sort-by=.lastTimestamp -A
STDOUT:
NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                          MESSAGE
kube-system                   53m         Normal    Scheduled                                pod/kube-dns-859ff5b767-vb4dx                                   Successfully assigned kube-system/kube-dns-859ff5b767-vb4dx to gke-gke-a3h-spot-dc0273-default-pool-3301d7bf-6lhg
kube-system                   46m         Normal    Scheduled                                pod/kube-dns-859ff5b767-nqhdb                                   Successfully assigned kube-system/kube-dns-859ff5b767-nqhdb to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   47m         Normal    Scheduled                                pod/kube-dns-859ff5b767-bbxgv                                   Successfully assigned kube-system/kube-dns-859ff5b767-bbxgv to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   47m         Warning   FailedScheduling                         pod/kube-dns-859ff5b767-bbxgv                                   no nodes available to schedule pods
kube-system                   48m         Warning   FailedScheduling                         pod/kube-dns-859ff5b767-bbxgv                                   no nodes available to schedule pods
kube-system                   53m         Warning   FailedScheduling                         pod/kube-dns-859ff5b767-bbxgv                                   0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   47m         Normal    Scheduled                                pod/kube-dns-859ff5b767-8p4dr                                   Successfully assigned kube-system/kube-dns-859ff5b767-8p4dr to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   47m         Warning   FailedScheduling                         pod/kube-dns-859ff5b767-8p4dr                                   no nodes available to schedule pods
gke-managed-cim               53m         Warning   FailedScheduling                         pod/kube-state-metrics-0                                        0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   48m         Warning   FailedScheduling                         pod/kube-dns-859ff5b767-8p4dr                                   no nodes available to schedule pods
kube-system                   53m         Warning   FailedScheduling                         pod/kube-dns-859ff5b767-8p4dr                                   0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
gke-managed-cim               48m         Warning   FailedScheduling                         pod/kube-state-metrics-0                                        no nodes available to schedule pods
gke-managed-cim               47m         Warning   FailedScheduling                         pod/kube-state-metrics-0                                        no nodes available to schedule pods
gke-managed-cim               47m         Normal    Scheduled                                pod/kube-state-metrics-0                                        Successfully assigned gke-managed-cim/kube-state-metrics-0 to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
